@RELATION unknow
@ATTRIBUTE a1 integer [27, 126]
@ATTRIBUTE a2 integer [-4821, 5075]
@ATTRIBUTE a3 integer [21, 149]
@ATTRIBUTE a4 integer [-3939, 3830]
@ATTRIBUTE a5 integer [-188, 436]
@ATTRIBUTE a6 integer [-13839, 13148]
@ATTRIBUTE a7 integer [-48, 105]
@ATTRIBUTE a8 integer [-353, 270]
@ATTRIBUTE a9 integer [-356, 266]
@ATTRIBUTE class {1,2,3,4,5,6,7}
@DATA
55, 2, 72, -13, 0, 1, 17, 72, 56, 4
56, 5, 96, 0, 50, 1, 40, 47, 8, 4
54, 1, 82, 0, 54, 0, 28, 28, 0, 1
37, 0, 106, 0, 24, -13, 68, 82, 14, 1
37, 0, 76, 0, 34, 19, 39, 43, 4, 1
37, 0, 95, 0, 10, 14, 58, 84, 26, 1
37, 0, 77, 0, 38, 4, 39, 38, 0, 1
45, 0, 106, 0, 46, 14, 61, 60, 0, 1
48, 0, 95, 0, 46, 0, 47, 49, 2, 1
54, -2, 78, -1, 54, 0, 24, 24, 0, 1
45, 0, 93, 0, 44, -4, 48, 50, 2, 1
53, 1, 78, 0, 52, -7, 25, 26, 2, 1
49, 0, 88, 1, 50, 19, 40, 39, 0, 1
55, 0, 83, 0, -28, 1, 27, 111, 84, 4
49, 0, 88, 0, 46, -6, 39, 41, 2, 1
43, 0, 81, -5, 42, -1, 37, 39, 2, 1
51, -2, 87, 0, 50, -13, 36, 38, 2, 1
56, 4, 91, 0, 56, 6, 35, 34, 0, 1
37, 0, 104, -1, 16, -5, 67, 88, 22, 1
37, 0, 78, 0, 2, 11, 42, 75, 34, 1
41, 0, 88, 0, 42, 1, 47, 47, 0, 1
44, 1, 108, 0, 44, 3, 64, 64, 0, 1
37, 0, 100, 0, 30, -3, 64, 69, 6, 1
46, 4, 87, 0, 44, -19, 41, 43, 2, 1
42, -1, 87, 0, 42, 0, 45, 46, 2, 1
37, 0, 83, 0, 0, 3, 46, 83, 36, 1
56, -1, 97, -2, 50, -1, 41, 48, 6, 4
81, -5, 84, 0, -22, -6, 4, 108, 104, 5
46, 0, 81, 1, 46, 8, 35, 35, 0, 1
44, 2, 88, 0, 44, 12, 44, 44, 0, 1
41, 3, 76, 0, 42, 13, 35, 35, 0, 1
37, 0, 81, 3, 34, 1, 43, 47, 4, 1
37, 0, 82, -3, 8, 0, 45, 74, 30, 1
44, 0, 86, -1, 44, 8, 42, 42, 0, 1
37, 0, 80, 0, 10, 29, 43, 70, 26, 1
44, 3, 77, 0, 44, 23, 33, 33, 0, 1
38, 1, 76, 0, 38, 11, 38, 37, 0, 1
52, -30, 79, 0, 0, 0, 27, 79, 52, 3
50, 0, 78, -6, 50, 0, 29, 29, 0, 1
46, 0, 100, 0, 44, -11, 54, 56, 2, 1
40, 0, 80, 0, 38, 2, 40, 41, 2, 1
47, 5, 84, 0, 46, 0, 37, 38, 0, 1
43, 5, 90, 0, 42, 0, 47, 49, 2, 1
43, 0, 78, 0, 42, -1, 35, 37, 2, 1
45, 0, 81, 0, 46, 5, 36, 35, 0, 1
37, 0, 77, 7, 16, 7, 40, 61, 22, 1
56, 0, 95, -2, 44, -2, 40, 51, 12, 4
45, 0, 86, 7, 44, 0, 42, 42, 0, 1
41, -1, 76, 0, 38, -14, 35, 37, 2, 1
45, 1, 76, -2, 44, -4, 31, 32, 0, 1
56, 5, 97, 0, 38, 0, 40, 58, 18, 4
41, 0, 84, 2, 38, -4, 43, 45, 2, 1
56, 0, 86, 0, 54, -30, 30, 32, 2, 1
37, 0, 77, -1, 20, -4, 40, 56, 16, 1
44, 0, 82, -5, 44, -1, 38, 38, 0, 1
39, -5, 76, -1, -2, 0, 37, 79, 42, 1
38, 0, 82, 0, 38, 11, 44, 43, 0, 1
39, 0, 106, 6, 38, 0, 68, 67, 0, 1
42, -3, 86, 0, 42, 0, 45, 45, 0, 1
55, 0, 77, 0, 0, -30, 22, 77, 56, 4
44, -2, 86, 0, 44, 0, 42, 42, 0, 1
56, -3, 96, -1, 52, 0, 40, 44, 4, 4
103, -1, 104, -4, 72, 10, 1, 31, 30, 5
37, 0, 100, 0, 30, -11, 64, 69, 6, 1
48, -4, 84, 0, 46, -1, 36, 38, 2, 1
57, 0, 88, 0, 56, 0, 31, 31, 0, 1
47, 0, 88, -2, 46, 0, 40, 41, 0, 1
86, 5, 89, 0, 2, -5, 3, 86, 84, 5
55, 0, 77, 0, -24, -28, 21, 103, 82, 4
37, 0, 83, 0, 8, 14, 46, 75, 30, 1
39, -1, 78, -5, 38, 0, 39, 39, 0, 1
37, -1, 79, -3, 20, -7, 42, 58, 16, 1
55, 0, 78, -1, 2, -3, 23, 75, 52, 4
37, 0, 104, 0, 18, 21, 67, 86, 18, 1
44, 0, 85, 0, 44, 16, 41, 41, 0, 1
38, -5, 97, 0, 38, 0, 59, 59, 0, 1
56, 0, 95, -3, 42, 0, 40, 54, 14, 4
41, 0, 77, 0, 38, -1, 37, 39, 2, 1
45, 0, 88, 0, 44, -6, 42, 44, 2, 1
53, 0, 108, 0, 52, -7, 55, 56, 2, 1
51, 4, 79, 0, 52, 14, 27, 27, 0, 1
39, 0, 76, -2, 38, 0, 36, 37, 0, 1
106, 0, 108, -3, 70, -4, 1, 38, 36, 5
36, -5, 81, 0, 36, 0, 45, 45, 0, 1
56, 1, 86, 0, 54, -8, 31, 32, 2, 1
51, 1, 88, 0, 50, -7, 36, 39, 2, 1
58, 2, 86, 0, 56, 0, 28, 29, 2, 1
46, 1, 86, 0, 44, -12, 41, 42, 2, 1
55, 0, 95, -7, 42, -3, 40, 54, 14, 4
39, -1, 79, -3, 38, 0, 40, 41, 0, 1
37, 0, 106, 0, 34, -1, 69, 72, 4, 1
44, -8, 88, 0, 44, 0, 44, 44, 0, 1
79, 0, 83, 0, -46, -29, 4, 130, 126, 5
43, 0, 77, -2, 42, 0, 34, 35, 2, 1
40, 4, 90, 0, 38, 0, 49, 51, 2, 1
56, 0, 92, 0, 0, 2, 36, 92, 56, 4
37, 0, 83, 0, 8, 19, 47, 75, 28, 1
45, 0, 81, 0, 46, 19, 36, 35, 0, 1
83, 0, 87, 0, -40, 0, 4, 128, 124, 5
59, 0, 87, 0, 60, 18, 28, 28, 0, 1
55, 0, 79, 0, 18, -16, 23, 61, 38, 4
37, 0, 82, 0, 26, -15, 45, 56, 10, 1
37, 0, 83, 0, 30, 24, 46, 52, 6, 1
56, -5, 107, 0, 56, 3, 51, 50, 0, 1
37, 0, 80, 4, 28, 0, 43, 52, 8, 1
49, 3, 88, 0, 50, 0, 39, 39, 0, 1
36, 3, 75, 0, 36, 0, 39, 39, 0, 1
42, 5, 102, 0, 42, 0, 60, 60, 0, 1
42, 0, 86, -5, 42, 0, 45, 45, 0, 1
43, 0, 108, 0, 42, -2, 64, 66, 2, 1
55, -3, 90, 0, 54, -12, 34, 35, 2, 1
44, 0, 75, -1, 44, 9, 31, 31, 0, 1
41, 0, 86, 3, 42, 20, 46, 45, 0, 1
37, 0, 76, 0, 20, 17, 40, 55, 16, 1
37, -54, 106, -2, 36, 0, 69, 69, 0, 1
48, 5, 88, 0, 46, 0, 40, 41, 2, 1
48, -3, 80, 0, 46, -5, 32, 34, 2, 1
51, -4, 84, 0, 50, -4, 34, 35, 2, 1
55, 0, 77, -6, -10, 0, 21, 87, 66, 4
37, 0, 80, 0, 36, 5, 43, 44, 0, 1
53, 0, 104, 1, 54, 4, 51, 49, 0, 1
38, 1, 92, 0, 28, 20, 54, 64, 10, 1
37, 0, 76, 1, 26, 0, 40, 50, 10, 1
37, 0, 78, 0, 16, 11, 41, 63, 22, 1
37, 0, 77, 0, 38, 17, 39, 38, 0, 1
45, -1, 77, -5, 44, -8, 32, 33, 0, 1
41, 0, 106, 0, 38, 0, 65, 67, 2, 1
55, 0, 77, 0, -10, -25, 21, 87, 66, 4
84, -3, 88, 0, 6, 0, 5, 83, 78, 5
101, 5, 102, 0, 72, 14, 1, 29, 28, 5
37, 0, 76, 4, 28, -6, 40, 48, 8, 1
55, 0, 82, 0, -40, -5, 26, 123, 96, 4
48, 0, 87, 8, 46, 0, 39, 41, 2, 1
45, 2, 79, 0, 46, 29, 33, 32, 0, 1
37, 0, 95, 0, 28, 29, 58, 67, 8, 1
37, 0, 77, 0, 26, 0, 41, 52, 10, 1
37, 4, 81, 0, 36, -2, 43, 44, 2, 1
37, 0, 77, 0, 24, -16, 40, 54, 14, 1
42, 2, 77, 8, 42, 0, 35, 36, 0, 1
79, -1, 83, -10, 436, 6339, 4, -353, -356, 5
56, -1, 92, 0, 52, 0, 36, 40, 4, 4
46, 0, 91, 5, 46, 0, 45, 44, 0, 1
37, 0, 76, -5, 36, -15, 39, 40, 2, 1
37, 0, 77, 0, 6, -10, 40, 72, 32, 1
55, 6, 95, 0, 50, 0, 41, 46, 6, 4
46, 0, 83, -1, 44, -25, 37, 39, 2, 1
43, 0, 81, -1, 42, -13, 37, 39, 2, 1
55, 0, 97, 0, 52, 21, 41, 45, 4, 4
37, 0, 78, 0, 2, -13, 41, 75, 34, 1
37, 0, 77, 6, 36, -7, 39, 41, 2, 1
37, 0, 108, 2, 36, 0, 70, 71, 2, 1
43, -1, 77, 0, 42, 0, 34, 35, 2, 1
56, 2, 98, 0, 44, -23, 42, 54, 12, 4
45, 0, 87, 2, 44, -19, 42, 43, 2, 1
51, -2, 77, 0, 50, -13, 26, 28, 2, 1
44, 0, 81, 0, 44, 21, 38, 37, 0, 1
37, 0, 105, -4, 16, -21, 68, 89, 22, 1
105, 1, 106, 0, 70, -3, 1, 36, 34, 5
44, 0, 81, 0, 42, -18, 38, 40, 2, 1
37, 0, 105, 0, 30, -8, 68, 74, 6, 1
37, 0, 76, 144, 20, 0, 40, 55, 16, 1
39, -2, 79, 0, 38, 0, 40, 41, 0, 1
47, 5, 82, 0, 46, 0, 35, 35, 0, 1
43, 0, 79, 4, 42, 0, 37, 38, 2, 1
42, 2, 86, 0, 42, 0, 44, 45, 0, 1
49, 0, 82, 0, 46, -8, 33, 35, 2, 1
41, 0, 76, -2, 38, 0, 35, 37, 2, 1
90, -40, 107, 0, 64, -28, 17, 42, 26, 3
37, 0, 76, 0, 26, 0, 39, 50, 10, 1
37, 0, 77, 0, 0, 0, 41, 77, 36, 1
49, 1, 80, 0, 50, 21, 31, 31, 0, 1
108, 0, 108, -6, 72, 7, 1, 36, 36, 5
37, 0, 84, 0, 26, 9, 47, 58, 10, 1
55, 0, 95, 0, 42, 19, 40, 54, 14, 4
102, -4, 104, 0, 70, 0, 1, 34, 32, 5
41, 0, 77, 0, 42, 10, 36, 35, 0, 1
56, 0, 78, 0, 12, 2, 22, 65, 42, 4
44, 0, 84, 0, 44, 4, 40, 41, 0, 1
56, 0, 78, 0, 44, 3, 22, 34, 12, 4
37, 0, 76, 0, 26, 17, 40, 50, 10, 1
56, 0, 80, 0, 54, -9, 24, 26, 2, 1
56, 1, 86, 0, 56, 8, 30, 29, 0, 1
55, 0, 77, 0, 16, 31, 22, 62, 40, 4
37, 0, 79, 0, 8, -12, 43, 72, 28, 1
56, -2, 95, 0, 44, 1, 40, 51, 12, 4
37, 3, 98, 0, 34, 6, 61, 64, 4, 1
46, 0, 83, -6, 46, 0, 37, 37, 0, 1
37, 0, 80, 0, 8, 23, 43, 72, 28, 1
37, 0, 104, 0, 16, -16, 67, 89, 22, 1
82, -1, 86, 0, -12, 0, 4, 99, 94, 5
43, 0, 83, 0, 44, 30, 40, 39, 0, 1
41, -2, 86, 0, 42, 11, 46, 45, 0, 1
56, -2, 99, 0, 50, 0, 43, 49, 6, 4
53, 2, 79, 0, 54, 28, 26, 24, 0, 1
44, 1, 93, 0, 44, 3, 50, 50, 0, 1
37, -1, 106, -15, 28, 0, 69, 78, 8, 1
42, 2, 76, 0, 42, 0, 34, 35, 2, 1
39, 0, 85, 2, 38, 0, 46, 46, 0, 1
55, 0, 77, 0, 18, 27, 22, 59, 38, 4
44, 4, 76, 0, 42, -14, 32, 34, 2, 1
52, -3, 86, 0, 52, 0, 34, 34, 0, 1
103, 2, 105, 9, 70, 0, 2, 35, 34, 5
45, 0, 81, 0, 46, 27, 36, 35, 0, 1
43, 0, 86, -3, 42, 0, 42, 44, 2, 1
37, 0, 79, 0, 8, 8, 42, 71, 28, 1
43, -1, 77, 0, 42, -4, 34, 35, 2, 1
41, 1, 84, 0, 38, -22, 43, 45, 2, 1
55, 0, 82, 0, -32, -3, 26, 115, 90, 4
56, -1, 95, 0, 44, 3, 40, 51, 12, 4
53, -2, 83, 0, 52, -19, 30, 32, 2, 1
52, 5, 79, 0, 52, 0, 26, 27, 0, 1
55, 0, 88, -2, 54, 0, 34, 34, 0, 1
68, 67, 82, 0, -42, -6, 13, 126, 112, 2
56, 0, 96, -4, 50, -2, 40, 47, 6, 4
37, 0, 77, 0, 26, -27, 40, 51, 10, 1
43, 0, 85, 5, 44, 14, 42, 41, 0, 1
41, 0, 83, 0, 38, -21, 42, 44, 2, 1
40, 1, 102, 0, 38, 0, 62, 63, 2, 1
44, 2, 83, 5, 44, 12, 40, 39, 0, 1
41, 0, 89, 0, 38, -23, 48, 50, 2, 1
45, 0, 86, 1, 44, -3, 41, 42, 2, 1
37, -4, 77, 0, 36, 0, 40, 41, 0, 1
51, 0, 81, 0, 52, 4, 29, 29, 0, 1
55, 0, 77, 0, 2, -2, 22, 75, 52, 4
43, 0, 81, -4, 44, 30, 37, 37, 0, 1
105, -5, 106, -7, 70, 0, 1, 36, 34, 5
102, 0, 103, 0, 70, -25, 1, 33, 32, 5
43, 0, 86, -2, 42, 0, 43, 45, 2, 1
45, -5, 81, 0, 44, -3, 36, 37, 2, 1
42, 0, 86, 6, 42, 0, 43, 44, 2, 1
55, 1, 79, 0, 54, 0, 23, 24, 2, 1
53, 0, 79, 0, 52, -11, 26, 27, 2, 1
46, 1, 81, 0, 44, -23, 35, 37, 2, 1
37, 0, 74, 0, 34, 10, 37, 41, 4, 1
81, 0, 84, 0, -20, 24, 4, 105, 102, 5
44, 3, 76, -1, 44, 1, 32, 32, 0, 1
45, 0, 84, 1, 46, 22, 39, 38, 0, 1
37, 0, 75, 0, 18, -18, 38, 57, 18, 1
68, 0, 111, -4, 68, 0, 43, 44, 0, 1
37, 0, 104, 6, 18, 0, 66, 86, 20, 1
37, 0, 104, -14, 28, 0, 67, 75, 8, 1
43, 0, 87, 0, 42, -10, 44, 46, 2, 1
52, 0, 88, 0, 54, 31, 35, 33, 0, 1
45, 0, 79, 0, 44, -14, 34, 35, 2, 1
49, -2, 78, 0, 50, 12, 29, 29, 0, 1
47, 4, 82, -1, 46, 0, 34, 35, 0, 1
37, 0, 106, 0, 34, -7, 69, 72, 4, 1
42, 4, 78, -3, 42, 0, 36, 37, 2, 1
55, -1, 96, -3, 42, -5, 41, 55, 14, 4
55, 0, 93, 0, 8, 6, 37, 85, 48, 4
55, -3, 95, 0, 46, 0, 40, 49, 8, 4
56, 3, 79, 0, 56, 3, 23, 23, 0, 1
50, -1, 102, 0, 50, 0, 52, 53, 0, 1
41, 3, 86, 0, 42, 6, 45, 44, 0, 1
56, 1, 98, 0, 44, -4, 42, 54, 12, 4
42, -1, 87, -5, 42, -7, 45, 46, 0, 1
56, 0, 77, 0, 16, -6, 22, 62, 40, 4
46, 0, 83, 0, 44, -19, 37, 39, 2, 1
47, 5, 82, -2, 46, 0, 34, 35, 0, 1
55, 0, 97, 6, 50, 0, 41, 48, 6, 4
41, 0, 76, -4, 38, 0, 35, 37, 2, 1
36, 0, 80, 0, 36, 0, 44, 44, 0, 1
46, 0, 109, 0, 46, 0, 63, 63, 0, 1
55, 0, 93, 8, 24, 13, 37, 70, 32, 4
37, 0, 77, 5, 20, -2, 40, 56, 16, 1
37, -27, 106, 0, 34, 28, 69, 72, 4, 1
49, 0, 77, 0, 46, -21, 28, 30, 2, 1
50, 3, 85, 0, 50, 0, 36, 36, 0, 1
54, -2, 76, -17, -2, 9, 22, 79, 56, 4
55, 0, 77, 0, -18, 19, 21, 95, 74, 4
55, 0, 77, 0, 8, 9, 22, 70, 48, 4
45, 0, 109, 0, 44, 0, 64, 66, 2, 1
46, 0, 81, -5, 46, 0, 35, 34, 0, 1
37, 0, 78, 0, -4, 18, 41, 83, 42, 1
51, 0, 85, 0, 50, -28, 34, 36, 2, 1
55, 0, 79, 0, 20, -2, 23, 58, 34, 4
38, -5, 100, 0, 38, 0, 62, 62, 0, 1
53, 16, 96, 5, 50, 0, 43, 47, 4, 4
49, -4, 100, -2, 50, 2, 52, 51, 0, 1
39, 2, 77, 0, 38, 0, 37, 38, 0, 1
44, 0, 97, 1, 42, -23, 53, 55, 2, 1
55, 0, 96, 0, 42, -3, 41, 55, 14, 4
55, 0, 77, 0, 28, -5, 21, 48, 28, 4
53, 0, 88, 0, 54, 0, 35, 34, 0, 1
44, 3, 107, 0, 44, 1, 63, 63, 0, 1
56, 5, 95, 0, 38, 0, 39, 57, 18, 4
56, 0, 77, 0, -12, 14, 21, 90, 68, 4
56, -1, 90, -1, 54, -30, 34, 35, 2, 1
49, 0, 79, 0, 50, 30, 30, 30, 0, 1
38, 0, 90, 0, 38, 3, 52, 51, 0, 1
45, 0, 81, -2, 44, -3, 36, 37, 0, 1
37, 5, 75, 0, 18, 0, 38, 57, 18, 1
44, -21, 88, 0, 44, 0, 44, 44, 0, 1
37, 0, 80, 0, 20, -3, 43, 59, 16, 1
56, 3, 76, 0, -18, -10, 20, 94, 74, 4
56, 0, 77, 0, 46, 1, 22, 31, 10, 4
37, 0, 90, 9, 6, 0, 53, 85, 32, 1
55, 0, 95, 0, 52, 3, 40, 44, 4, 4
51, 5, 77, 0, 50, 0, 27, 28, 2, 1
57, 2, 90, 0, 56, 0, 33, 33, 0, 1
37, 0, 75, 0, 24, 30, 38, 52, 14, 1
80, 1, 84, 0, -36, 0, 4, 121, 116, 5
46, 0, 79, 1, 46, 12, 33, 32, 0, 1
53, 0, 86, 0, 52, -6, 33, 35, 2, 1
53, 0, 103, 0, 52, -17, 50, 51, 2, 1
50, -5, 84, 0, 50, 0, 33, 35, 2, 1
43, 0, 89, 0, 42, -2, 46, 48, 2, 1
48, 0, 81, 0, 50, 30, 33, 32, 0, 1
45, 0, 82, 6, 44, 0, 37, 38, 0, 1
37, 0, 83, 0, 28, 12, 46, 54, 8, 1
50, -3, 77, 0, 50, 0, 28, 28, 0, 1
56, 0, 95, 0, 44, 6, 40, 51, 12, 4
48, 0, 77, 0, 46, -7, 28, 30, 2, 1
51, 0, 91, 0, 52, 0, 40, 39, 0, 1
55, -5, 99, 0, 50, 0, 44, 50, 6, 4
49, 0, 77, 0, 50, 26, 28, 28, 0, 1
44, 0, 75, -1, 44, 10, 31, 31, 0, 1
56, 2, 97, 0, 54, 3, 40, 42, 2, 1
37, 0, 105, 0, 30, -1, 68, 74, 6, 1
37, -1, 78, -2, 16, 0, 41, 63, 22, 1
37, 0, 78, 6, 36, 23, 41, 42, 0, 1
46, 4, 77, 0, 44, -8, 32, 34, 2, 1
37, 0, 76, 4, 28, 0, 39, 48, 8, 1
56, 0, 95, 0, 54, 2, 40, 41, 2, 1
39, 3, 80, 5, 38, 0, 41, 41, 0, 1
37, 0, 78, 0, 6, 12, 41, 73, 32, 1
50, 3, 84, 0, 50, 0, 34, 35, 2, 1
55, -3, 98, 0, 46, 21, 42, 51, 8, 4
55, 0, 83, -1, 54, 0, 28, 29, 2, 1
52, 2, 77, 0, 52, 0, 25, 25, 0, 1
56, -1, 97, 0, 38, 1, 41, 58, 18, 4
49, 0, 81, 0, 50, -4, 32, 32, 0, 1
51, 0, 102, 0, 52, 11, 51, 50, 0, 1
44, 3, 87, -4, 44, 2, 43, 43, 0, 1
44, 4, 77, 0, 44, 0, 33, 33, 0, 1
82, 0, 86, 0, -12, -9, 3, 99, 96, 5
50, -1, 87, 0, 50, 0, 37, 38, 2, 1
56, 0, 79, 4, 0, 3, 23, 79, 56, 4
37, 0, 75, 0, 20, 9, 38, 54, 16, 1
50, 3, 78, -3, 50, 0, 28, 29, 2, 1
47, 0, 85, 2, 46, 0, 38, 39, 0, 1
39, -4, 97, 0, 38, 0, 58, 59, 0, 1
37, -2, 77, 8, -2, 0, 39, 79, 40, 1
43, -1, 79, 0, 44, 17, 35, 35, 0, 1
56, 0, 77, 0, -22, 16, 21, 100, 80, 4
52, -2, 81, 0, 54, 31, 29, 27, 0, 1
37, 0, 79, 0, 10, 20, 42, 68, 26, 1
45, 5, 79, 0, 44, -4, 33, 35, 2, 1
55, 0, 79, 0, 20, -25, 24, 59, 34, 4
46, 0, 82, 0, 44, -14, 36, 38, 2, 1
42, -1, 86, 0, 42, 0, 45, 45, 0, 1
37, 0, 82, 1, 18, -17, 45, 64, 18, 1
41, 5, 79, 0, 38, -5, 38, 40, 2, 1
45, 4, 82, 1, 44, 0, 37, 38, 0, 1
37, 0, 79, 0, 8, 15, 42, 71, 28, 1
55, 4, 91, 0, 54, 0, 35, 37, 2, 1
46, 0, 88, 1, 46, 3, 42, 41, 0, 1
49, -3, 84, 0, 50, 13, 35, 35, 0, 1
37, 0, 77, -7, 34, 0, 40, 43, 2, 1
37, 0, 107, 0, 30, 13, 70, 76, 6, 1
37, 0, 97, 0, 20, -14, 60, 77, 16, 1
46, 0, 84, -3, 46, 0, 38, 37, 0, 1
44, 0, 77, 0, 42, -28, 33, 35, 2, 1
56, 0, 82, 0, 56, 11, 26, 25, 0, 1
101, 0, 102, 0, 72, 38, 1, 30, 28, 5
56, 0, 96, -1, 38, 0, 40, 57, 18, 4
54, 0, 81, 4, 54, 0, 27, 27, 0, 1
49, -5, 83, 0, 50, 0, 33, 33, 0, 1
56, 0, 97, 0, 44, -6, 41, 53, 12, 4
37, 0, 76, -1, 36, 0, 39, 39, 0, 1
56, 0, 97, 3, 50, 0, 41, 48, 8, 4
46, 0, 77, 6, 46, 0, 31, 31, 0, 1
56, 4, 97, 0, 42, 3, 41, 56, 14, 4
46, 4, 93, 0, 46, 0, 47, 47, 0, 1
37, -4, 77, 0, 36, -24, 39, 41, 2, 1
37, 0, 80, 0, 8, 21, 43, 72, 30, 1
44, 0, 81, 0, 44, 5, 37, 37, 0, 1
47, 0, 83, 0, 46, 0, 35, 36, 0, 1
85, 1, 88, 0, 0, -1, 3, 88, 86, 5
37, 0, 75, 0, 26, 30, 38, 49, 12, 1
38, 0, 90, 0, 8, 3, 52, 82, 30, 1
41, 0, 106, 0, 42, 1, 65, 65, 0, 1
49, -1, 84, 0, 50, 4, 36, 35, 0, 1
37, 1, 82, -3, 34, 0, 45, 48, 4, 1
55, 0, 83, 0, 56, 31, 27, 26, 0, 1
37, 0, 79, -3, 20, -6, 43, 59, 16, 1
44, 0, 76, -2, 44, 7, 32, 32, 0, 1
56, 2, 99, 0, 50, 0, 42, 49, 8, 4
55, 0, 77, 0, -18, -10, 21, 95, 74, 4
37, -1, 80, 5, 24, 0, 43, 57, 14, 1
50, 3, 84, 0, 50, 0, 35, 35, 0, 1
50, 3, 87, 0, 50, 0, 37, 38, 2, 1
45, 5, 81, 3, 44, 0, 37, 37, 0, 1
37, -2, 107, 0, 36, -23, 69, 71, 2, 1
37, 0, 79, -6, 2, 0, 43, 77, 34, 1
55, -1, 97, 0, 50, 0, 42, 48, 6, 4
49, 1, 77, 0, 50, 18, 28, 28, 0, 1
36, 0, 80, -1, 36, 0, 44, 44, 0, 1
56, 0, 81, 0, 56, 6, 25, 24, 0, 1
38, 0, 76, 0, 38, 2, 38, 37, 0, 1
48, -1, 86, 0, 46, 0, 38, 39, 2, 1
51, 4, 86, 0, 52, 16, 35, 34, 0, 1
38, 1, 96, 0, 38, 6, 58, 57, 0, 1
80, 1, 84, 3, -42, -26, 5, 128, 124, 5
41, 0, 87, 8, 42, 30, 46, 46, 0, 1
37, 0, 79, 0, 36, -7, 41, 43, 2, 1
42, -1, 86, -4, 42, -6, 44, 45, 2, 1
52, 4, 88, 0, 52, -4, 35, 36, 0, 1
49, 0, 81, 0, 46, -9, 33, 35, 2, 1
46, 1, 77, 0, 44, -13, 31, 33, 2, 1
44, 1, 81, 0, 44, 4, 37, 37, 0, 1
37, 0, 93, 0, 12, 3, 56, 81, 24, 1
85, 0, 88, 0, 0, -9, 3, 88, 86, 5
56, 0, 76, 0, -6, 0, 20, 84, 64, 4
51, 3, 78, 0, 52, 13, 27, 26, 0, 1
56, -4, 99, 0, 46, -1, 43, 52, 10, 4
76, -5, 80, 0, -40, 0, 4, 121, 116, 5
45, 0, 79, -1, 44, -13, 33, 35, 2, 1
53, 0, 81, 0, 54, 1, 27, 26, 0, 1
56, 2, 97, 0, 42, -10, 40, 55, 14, 4
37, 0, 79, 0, 10, -23, 42, 68, 26, 1
55, -1, 89, -4, 54, 0, 34, 35, 0, 1
44, 0, 80, 4, 44, 3, 36, 36, 0, 1
82, -1, 86, 0, -2, 25, 3, 88, 84, 5
38, 5, 79, 0, 36, 0, 41, 43, 2, 1
56, 0, 95, -1, 50, 0, 40, 46, 6, 4
56, 0, 77, 0, 20, -22, 22, 57, 36, 4
44, 1, 78, 0, 42, -30, 34, 37, 2, 1
40, 0, 85, -1, 38, 0, 45, 46, 2, 1
55, 0, 96, 0, 42, -8, 41, 55, 14, 4
45, -1, 83, 0, 46, 3, 37, 36, 0, 1
51, 0, 88, 0, 52, 22, 37, 36, 0, 1
41, 1, 76, -1, 38, 0, 35, 37, 2, 1
37, 0, 78, 0, 16, 4, 42, 63, 22, 1
