@RELATION unknow
@ATTRIBUTE at1 REAL
@ATTRIBUTE at2 REAL
@ATTRIBUTE at3 REAL
@ATTRIBUTE at4 REAL
@ATTRIBUTE at5 REAL
@ATTRIBUTE at6 REAL
@ATTRIBUTE at7 REAL
@ATTRIBUTE at8 REAL
@ATTRIBUTE at9 REAL
@ATTRIBUTE at10 REAL
@ATTRIBUTE at11 REAL
@ATTRIBUTE at12 REAL
@ATTRIBUTE at13 REAL
@ATTRIBUTE at14 REAL
@ATTRIBUTE at15 REAL
@ATTRIBUTE at16 REAL
@ATTRIBUTE class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@DATA
0.0, 86.0, 37.0, 100.0, 95.0, 92.0, 87.0, 67.0, 55.0, 44.0, 18.0, 23.0, 32.0, 2.0, 100.0, 0.0, 2
43.0, 83.0, 42.0, 76.0, 52.0, 100.0, 46.0, 44.0, 36.0, 0.0, 0.0, 13.0, 50.0, 12.0, 100.0, 13.0, 1
76.0, 70.0, 32.0, 100.0, 10.0, 71.0, 85.0, 41.0, 100.0, 4.0, 4.0, 0.0, 0.0, 39.0, 54.0, 73.0, 8
36.0, 100.0, 3.0, 76.0, 0.0, 32.0, 27.0, 0.0, 70.0, 6.0, 100.0, 37.0, 91.0, 76.0, 49.0, 70.0, 0
0.0, 95.0, 54.0, 100.0, 93.0, 79.0, 81.0, 42.0, 60.0, 7.0, 36.0, 0.0, 44.0, 27.0, 100.0, 31.0, 7
55.0, 89.0, 32.0, 100.0, 5.0, 65.0, 0.0, 28.0, 43.0, 0.0, 100.0, 19.0, 51.0, 31.0, 16.0, 0.0, 6
59.0, 85.0, 25.0, 71.0, 88.0, 35.0, 79.0, 0.0, 7.0, 29.0, 62.0, 64.0, 100.0, 100.0, 0.0, 99.0, 8
0.0, 54.0, 49.0, 75.0, 96.0, 100.0, 91.0, 75.0, 69.0, 45.0, 51.0, 16.0, 27.0, 0.0, 100.0, 6.0, 1
0.0, 99.0, 50.0, 100.0, 77.0, 77.0, 59.0, 50.0, 29.0, 26.0, 0.0, 2.0, 48.0, 0.0, 100.0, 4.0, 2
36.0, 84.0, 9.0, 86.0, 0.0, 38.0, 27.0, 0.0, 72.0, 9.0, 100.0, 47.0, 88.0, 94.0, 46.0, 100.0, 0
100.0, 95.0, 38.0, 99.0, 35.0, 65.0, 70.0, 29.0, 32.0, 0.0, 0.0, 27.0, 36.0, 64.0, 65.0, 100.0, 8
55.0, 83.0, 100.0, 100.0, 93.0, 83.0, 82.0, 56.0, 84.0, 28.0, 71.0, 2.0, 0.0, 0.0, 73.0, 3.0, 1
17.0, 100.0, 3.0, 75.0, 0.0, 43.0, 60.0, 46.0, 100.0, 62.0, 94.0, 69.0, 92.0, 34.0, 92.0, 0.0, 4
0.0, 95.0, 37.0, 99.0, 77.0, 100.0, 100.0, 74.0, 98.0, 37.0, 95.0, 0.0, 70.0, 13.0, 77.0, 31.0, 7
0.0, 44.0, 15.0, 0.0, 62.0, 5.0, 95.0, 40.0, 100.0, 88.0, 60.0, 100.0, 27.0, 64.0, 11.0, 17.0, 0
0.0, 86.0, 26.0, 100.0, 70.0, 84.0, 77.0, 45.0, 68.0, 5.0, 54.0, 0.0, 50.0, 25.0, 100.0, 23.0, 7
0.0, 53.0, 8.0, 55.0, 46.0, 79.0, 89.0, 100.0, 100.0, 85.0, 78.0, 57.0, 56.0, 29.0, 47.0, 0.0, 1
60.0, 98.0, 34.0, 56.0, 99.0, 66.0, 74.0, 100.0, 58.0, 65.0, 100.0, 58.0, 66.0, 0.0, 0.0, 8.0, 9
26.0, 87.0, 64.0, 100.0, 66.0, 57.0, 39.0, 21.0, 0.0, 0.0, 15.0, 29.0, 57.0, 21.0, 100.0, 21.0, 2
39.0, 94.0, 100.0, 100.0, 99.0, 98.0, 36.0, 92.0, 50.0, 69.0, 93.0, 39.0, 61.0, 7.0, 0.0, 0.0, 5
0.0, 48.0, 35.0, 64.0, 66.0, 82.0, 100.0, 100.0, 94.0, 75.0, 85.0, 50.0, 84.0, 24.0, 93.0, 0.0, 1
19.0, 71.0, 55.0, 100.0, 100.0, 99.0, 73.0, 66.0, 55.0, 44.0, 97.0, 22.0, 55.0, 0.0, 0.0, 4.0, 3
21.0, 87.0, 61.0, 100.0, 71.0, 66.0, 38.0, 36.0, 0.0, 12.0, 15.0, 1.0, 60.0, 1.0, 100.0, 0.0, 2
30.0, 100.0, 90.0, 99.0, 81.0, 100.0, 32.0, 78.0, 52.0, 57.0, 100.0, 31.0, 58.0, 0.0, 0.0, 17.0, 5
100.0, 92.0, 18.0, 81.0, 46.0, 39.0, 62.0, 0.0, 1.0, 13.0, 43.0, 56.0, 74.0, 100.0, 0.0, 75.0, 8
86.0, 88.0, 33.0, 65.0, 0.0, 87.0, 58.0, 100.0, 87.0, 67.0, 100.0, 31.0, 93.0, 0.0, 19.0, 7.0, 9
0.0, 92.0, 68.0, 100.0, 89.0, 81.0, 74.0, 40.0, 61.0, 0.0, 35.0, 13.0, 20.0, 42.0, 100.0, 50.0, 7
40.0, 94.0, 22.0, 95.0, 0.0, 45.0, 23.0, 0.0, 83.0, 10.0, 100.0, 58.0, 61.0, 100.0, 19.0, 75.0, 0
0.0, 89.0, 61.0, 100.0, 90.0, 74.0, 69.0, 37.0, 42.0, 2.0, 27.0, 0.0, 35.0, 30.0, 100.0, 38.0, 7
0.0, 32.0, 34.0, 50.0, 63.0, 76.0, 94.0, 100.0, 100.0, 84.0, 86.0, 55.0, 73.0, 27.0, 70.0, 0.0, 1
55.0, 76.0, 70.0, 100.0, 95.0, 78.0, 72.0, 50.0, 40.0, 25.0, 0.0, 3.0, 40.0, 0.0, 100.0, 2.0, 2
37.0, 71.0, 79.0, 71.0, 49.0, 100.0, 0.0, 45.0, 25.0, 36.0, 66.0, 0.0, 100.0, 51.0, 10.0, 26.0, 8
81.0, 100.0, 50.0, 79.0, 23.0, 52.0, 17.0, 22.0, 70.0, 15.0, 100.0, 31.0, 44.0, 19.0, 0.0, 0.0, 6
32.0, 90.0, 0.0, 60.0, 2.0, 17.0, 51.0, 0.0, 95.0, 27.0, 100.0, 69.0, 66.0, 100.0, 25.0, 72.0, 0
23.0, 100.0, 15.0, 75.0, 0.0, 40.0, 60.0, 29.0, 94.0, 60.0, 100.0, 70.0, 86.0, 35.0, 78.0, 0.0, 4
66.0, 90.0, 6.0, 55.0, 100.0, 73.0, 45.0, 100.0, 33.0, 46.0, 0.0, 0.0, 89.0, 11.0, 13.0, 23.0, 8
40.0, 100.0, 0.0, 60.0, 20.0, 21.0, 86.0, 14.0, 100.0, 40.0, 75.0, 86.0, 61.0, 50.0, 59.0, 0.0, 4
59.0, 90.0, 16.0, 88.0, 0.0, 41.0, 25.0, 0.0, 77.0, 10.0, 100.0, 55.0, 82.0, 100.0, 35.0, 94.0, 0
0.0, 77.0, 13.0, 100.0, 57.0, 99.0, 60.0, 64.0, 38.0, 30.0, 11.0, 2.0, 57.0, 0.0, 100.0, 6.0, 2
0.0, 99.0, 56.0, 100.0, 72.0, 80.0, 54.0, 41.0, 49.0, 0.0, 22.0, 18.0, 41.0, 36.0, 100.0, 39.0, 7
30.0, 100.0, 19.0, 80.0, 0.0, 53.0, 11.0, 32.0, 74.0, 40.0, 100.0, 56.0, 89.0, 28.0, 85.0, 0.0, 4
32.0, 99.0, 35.0, 63.0, 56.0, 21.0, 17.0, 0.0, 0.0, 36.0, 12.0, 82.0, 54.0, 100.0, 100.0, 83.0, 5
76.0, 95.0, 23.0, 100.0, 36.0, 60.0, 68.0, 22.0, 23.0, 0.0, 0.0, 33.0, 46.0, 65.0, 100.0, 94.0, 8
13.0, 98.0, 0.0, 74.0, 51.0, 57.0, 32.0, 0.0, 2.0, 22.0, 4.0, 85.0, 41.0, 100.0, 100.0, 100.0, 5
32.0, 75.0, 6.0, 48.0, 0.0, 16.0, 34.0, 0.0, 79.0, 11.0, 100.0, 39.0, 99.0, 70.0, 82.0, 100.0, 0
6.0, 83.0, 0.0, 39.0, 24.0, 0.0, 73.0, 11.0, 100.0, 51.0, 82.0, 94.0, 35.0, 100.0, 6.0, 62.0, 0
22.0, 72.0, 34.0, 100.0, 62.0, 73.0, 38.0, 35.0, 0.0, 8.0, 5.0, 0.0, 53.0, 3.0, 100.0, 8.0, 2
0.0, 66.0, 1.0, 64.0, 26.0, 53.0, 63.0, 26.0, 12.0, 0.0, 12.0, 52.0, 33.0, 91.0, 100.0, 100.0, 5
31.0, 83.0, 0.0, 53.0, 1.0, 8.0, 57.0, 0.0, 100.0, 30.0, 98.0, 75.0, 51.0, 100.0, 7.0, 72.0, 0
0.0, 40.0, 22.0, 53.0, 49.0, 64.0, 76.0, 79.0, 100.0, 100.0, 84.0, 73.0, 71.0, 38.0, 63.0, 0.0, 1
100.0, 100.0, 49.0, 91.0, 13.0, 62.0, 0.0, 28.0, 33.0, 0.0, 90.0, 15.0, 75.0, 45.0, 8.0, 49.0, 6
7.0, 97.0, 15.0, 68.0, 65.0, 39.0, 31.0, 0.0, 0.0, 25.0, 4.0, 77.0, 33.0, 97.0, 100.0, 100.0, 5
19.0, 96.0, 21.0, 59.0, 73.0, 41.0, 40.0, 0.0, 3.0, 21.0, 0.0, 77.0, 36.0, 98.0, 100.0, 100.0, 5
100.0, 80.0, 54.0, 100.0, 42.0, 64.0, 92.0, 80.0, 96.0, 76.0, 94.0, 35.0, 62.0, 0.0, 0.0, 8.0, 9
0.0, 59.0, 46.0, 70.0, 86.0, 91.0, 100.0, 100.0, 95.0, 75.0, 92.0, 50.0, 89.0, 25.0, 95.0, 0.0, 1
100.0, 100.0, 56.0, 82.0, 19.0, 56.0, 0.0, 25.0, 30.0, 0.0, 87.0, 2.0, 84.0, 16.0, 30.0, 9.0, 6
0.0, 52.0, 40.0, 76.0, 80.0, 100.0, 100.0, 91.0, 100.0, 66.0, 91.0, 40.0, 80.0, 15.0, 54.0, 0.0, 1
41.0, 85.0, 77.0, 100.0, 92.0, 73.0, 66.0, 49.0, 100.0, 31.0, 78.0, 5.0, 37.0, 0.0, 0.0, 15.0, 3
93.0, 93.0, 44.0, 100.0, 26.0, 73.0, 53.0, 51.0, 100.0, 46.0, 86.0, 12.0, 38.0, 0.0, 0.0, 13.0, 5
0.0, 40.0, 26.0, 65.0, 60.0, 85.0, 97.0, 100.0, 100.0, 82.0, 74.0, 56.0, 48.0, 29.0, 30.0, 0.0, 1
52.0, 100.0, 21.0, 75.0, 5.0, 49.0, 0.0, 22.0, 34.0, 1.0, 100.0, 0.0, 95.0, 22.0, 35.0, 16.0, 6
28.0, 100.0, 0.0, 52.0, 37.0, 99.0, 45.0, 89.0, 51.0, 34.0, 24.0, 2.0, 30.0, 0.0, 100.0, 0.0, 1
0.0, 81.0, 54.0, 58.0, 100.0, 82.0, 33.0, 100.0, 37.0, 81.0, 82.0, 55.0, 72.0, 20.0, 12.0, 0.0, 9
97.0, 69.0, 79.0, 100.0, 0.0, 92.0, 18.0, 60.0, 96.0, 74.0, 100.0, 68.0, 83.0, 32.0, 83.0, 0.0, 9
87.0, 62.0, 61.0, 100.0, 0.0, 87.0, 18.0, 48.0, 78.0, 73.0, 100.0, 63.0, 71.0, 20.0, 10.0, 0.0, 9
0.0, 98.0, 49.0, 100.0, 100.0, 99.0, 88.0, 65.0, 61.0, 33.0, 34.0, 0.0, 21.0, 18.0, 44.0, 41.0, 7
54.0, 82.0, 12.0, 67.0, 0.0, 28.0, 34.0, 0.0, 83.0, 8.0, 100.0, 46.0, 73.0, 82.0, 28.0, 100.0, 0
7.0, 100.0, 0.0, 77.0, 0.0, 55.0, 20.0, 33.0, 96.0, 42.0, 87.0, 45.0, 85.0, 22.0, 100.0, 0.0, 4
77.0, 87.0, 87.0, 57.0, 100.0, 19.0, 13.0, 0.0, 28.0, 35.0, 83.0, 69.0, 94.0, 100.0, 0.0, 79.0, 8
0.0, 78.0, 23.0, 100.0, 77.0, 99.0, 100.0, 75.0, 70.0, 50.0, 30.0, 28.0, 29.0, 6.0, 84.0, 0.0, 2
0.0, 53.0, 26.0, 84.0, 32.0, 100.0, 33.0, 65.0, 36.0, 29.0, 3.0, 0.0, 6.0, 2.0, 100.0, 6.0, 1
97.0, 100.0, 51.0, 100.0, 14.0, 68.0, 0.0, 32.0, 28.0, 0.0, 100.0, 13.0, 73.0, 32.0, 10.0, 10.0, 6
29.0, 84.0, 1.0, 73.0, 64.0, 48.0, 65.0, 6.0, 0.0, 0.0, 1.0, 47.0, 26.0, 89.0, 100.0, 100.0, 5
61.0, 59.0, 100.0, 80.0, 66.0, 100.0, 15.0, 85.0, 0.0, 55.0, 55.0, 48.0, 87.0, 32.0, 71.0, 0.0, 9
0.0, 77.0, 36.0, 100.0, 94.0, 98.0, 100.0, 69.0, 58.0, 44.0, 14.0, 21.0, 29.0, 2.0, 90.0, 0.0, 2
33.0, 100.0, 32.0, 83.0, 0.0, 50.0, 60.0, 47.0, 96.0, 46.0, 100.0, 73.0, 91.0, 35.0, 85.0, 0.0, 4
21.0, 100.0, 25.0, 88.0, 0.0, 54.0, 20.0, 43.0, 85.0, 42.0, 100.0, 72.0, 91.0, 36.0, 82.0, 0.0, 4
0.0, 63.0, 24.0, 100.0, 52.0, 79.0, 37.0, 37.0, 5.0, 3.0, 6.0, 0.0, 53.0, 2.0, 100.0, 1.0, 2
29.0, 100.0, 0.0, 66.0, 11.0, 24.0, 52.0, 0.0, 98.0, 14.0, 100.0, 55.0, 61.0, 83.0, 11.0, 85.0, 0
39.0, 94.0, 0.0, 31.0, 42.0, 0.0, 100.0, 43.0, 95.0, 100.0, 30.0, 69.0, 49.0, 53.0, 30.0, 28.0, 0
35.0, 100.0, 26.0, 74.0, 0.0, 47.0, 54.0, 38.0, 100.0, 48.0, 91.0, 58.0, 84.0, 29.0, 74.0, 0.0, 4
16.0, 76.0, 48.0, 100.0, 72.0, 77.0, 42.0, 46.0, 0.0, 23.0, 2.0, 14.0, 53.0, 0.0, 100.0, 13.0, 2
11.0, 100.0, 0.0, 68.0, 22.0, 14.0, 66.0, 0.0, 100.0, 35.0, 78.0, 88.0, 34.0, 100.0, 13.0, 51.0, 0
0.0, 43.0, 35.0, 61.0, 70.0, 79.0, 100.0, 100.0, 86.0, 76.0, 70.0, 51.0, 55.0, 26.0, 49.0, 0.0, 1
0.0, 64.0, 42.0, 81.0, 81.0, 100.0, 100.0, 95.0, 81.0, 70.0, 57.0, 45.0, 30.0, 21.0, 33.0, 0.0, 1
27.0, 100.0, 21.0, 83.0, 0.0, 47.0, 36.0, 42.0, 100.0, 49.0, 96.0, 75.0, 86.0, 37.0, 84.0, 0.0, 4
100.0, 89.0, 62.0, 100.0, 47.0, 67.0, 91.0, 79.0, 94.0, 67.0, 91.0, 31.0, 63.0, 0.0, 0.0, 3.0, 9
0.0, 35.0, 39.0, 52.0, 71.0, 75.0, 100.0, 100.0, 82.0, 76.0, 59.0, 51.0, 36.0, 25.0, 9.0, 0.0, 1
30.0, 97.0, 82.0, 100.0, 65.0, 67.0, 19.0, 87.0, 81.0, 83.0, 100.0, 39.0, 68.0, 0.0, 0.0, 16.0, 9
23.0, 57.0, 70.0, 39.0, 100.0, 0.0, 40.0, 1.0, 51.0, 43.0, 89.0, 83.0, 60.0, 100.0, 0.0, 75.0, 8
87.0, 90.0, 38.0, 100.0, 0.0, 82.0, 46.0, 71.0, 100.0, 71.0, 73.0, 47.0, 38.0, 24.0, 27.0, 0.0, 9
4.0, 100.0, 2.0, 82.0, 0.0, 50.0, 46.0, 35.0, 100.0, 42.0, 100.0, 63.0, 93.0, 32.0, 93.0, 0.0, 4
1.0, 91.0, 50.0, 100.0, 58.0, 67.0, 32.0, 32.0, 16.0, 0.0, 0.0, 38.0, 40.0, 49.0, 100.0, 49.0, 7
46.0, 87.0, 62.0, 65.0, 97.0, 100.0, 32.0, 89.0, 62.0, 66.0, 100.0, 48.0, 71.0, 4.0, 0.0, 0.0, 9
100.0, 97.0, 76.0, 100.0, 29.0, 72.0, 0.0, 39.0, 15.0, 8.0, 95.0, 0.0, 78.0, 22.0, 0.0, 16.0, 6
0.0, 0.0, 39.0, 12.0, 76.0, 32.0, 96.0, 58.0, 97.0, 84.0, 59.0, 100.0, 53.0, 77.0, 100.0, 63.0, 9
0.0, 66.0, 23.0, 100.0, 53.0, 83.0, 41.0, 43.0, 14.0, 10.0, 13.0, 0.0, 56.0, 9.0, 100.0, 12.0, 2
51.0, 78.0, 0.0, 68.0, 47.0, 34.0, 100.0, 0.0, 19.0, 7.0, 63.0, 43.0, 85.0, 82.0, 9.0, 100.0, 8
0.0, 86.0, 33.0, 100.0, 60.0, 81.0, 58.0, 59.0, 96.0, 44.0, 100.0, 14.0, 62.0, 0.0, 20.0, 6.0, 3
19.0, 74.0, 47.0, 100.0, 81.0, 83.0, 57.0, 51.0, 18.0, 26.0, 0.0, 9.0, 54.0, 6.0, 100.0, 0.0, 2
100.0, 100.0, 73.0, 96.0, 45.0, 68.0, 28.0, 37.0, 27.0, 4.0, 76.0, 0.0, 58.0, 24.0, 0.0, 22.0, 6
45.0, 98.0, 82.0, 100.0, 72.0, 57.0, 42.0, 22.0, 0.0, 0.0, 3.0, 2.0, 52.0, 4.0, 100.0, 6.0, 2
0.0, 95.0, 48.0, 100.0, 89.0, 80.0, 78.0, 38.0, 51.0, 0.0, 27.0, 21.0, 51.0, 39.0, 100.0, 31.0, 7
20.0, 80.0, 54.0, 100.0, 100.0, 95.0, 74.0, 65.0, 83.0, 41.0, 93.0, 9.0, 47.0, 0.0, 0.0, 2.0, 3
17.0, 87.0, 12.0, 65.0, 64.0, 43.0, 52.0, 0.0, 0.0, 14.0, 4.0, 61.0, 35.0, 97.0, 100.0, 100.0, 5
17.0, 71.0, 38.0, 100.0, 90.0, 85.0, 68.0, 51.0, 66.0, 44.0, 100.0, 15.0, 53.0, 0.0, 0.0, 18.0, 3
86.0, 62.0, 64.0, 100.0, 0.0, 80.0, 40.0, 44.0, 92.0, 12.0, 29.0, 0.0, 41.0, 37.0, 100.0, 65.0, 8
42.0, 97.0, 13.0, 94.0, 51.0, 76.0, 57.0, 100.0, 90.0, 64.0, 100.0, 21.0, 55.0, 0.0, 0.0, 0.0, 9
30.0, 83.0, 8.0, 43.0, 19.0, 3.0, 71.0, 0.0, 100.0, 36.0, 87.0, 78.0, 39.0, 100.0, 0.0, 73.0, 0
32.0, 59.0, 70.0, 77.0, 98.0, 100.0, 100.0, 83.0, 87.0, 58.0, 79.0, 33.0, 57.0, 9.0, 0.0, 0.0, 1
100.0, 100.0, 69.0, 96.0, 38.0, 66.0, 14.0, 33.0, 19.0, 0.0, 68.0, 3.0, 52.0, 32.0, 0.0, 25.0, 6
22.0, 53.0, 76.0, 70.0, 100.0, 100.0, 39.0, 99.0, 0.0, 71.0, 53.0, 61.0, 67.0, 31.0, 40.0, 0.0, 9
100.0, 100.0, 56.0, 78.0, 24.0, 53.0, 0.0, 27.0, 11.0, 0.0, 74.0, 3.0, 56.0, 23.0, 6.0, 14.0, 6
19.0, 63.0, 58.0, 100.0, 52.0, 74.0, 47.0, 27.0, 91.0, 0.0, 100.0, 5.0, 25.0, 8.0, 0.0, 9.0, 1
84.0, 83.0, 22.0, 76.0, 8.0, 95.0, 72.0, 100.0, 100.0, 76.0, 77.0, 47.0, 41.0, 22.0, 0.0, 0.0, 9
46.0, 88.0, 24.0, 61.0, 19.0, 11.0, 63.0, 0.0, 100.0, 29.0, 86.0, 78.0, 45.0, 100.0, 0.0, 86.0, 0
0.0, 62.0, 48.0, 81.0, 100.0, 100.0, 87.0, 86.0, 58.0, 65.0, 39.0, 44.0, 16.0, 21.0, 10.0, 0.0, 1
